材料,種別
アボガド,01青果
うずらの卵,01青果
えのき,01青果
かぶ,01青果
かぼちゃ,01青果
きぬさや,01青果
きのこ類,01青果
きゃべつ,01青果
きゅうり,01青果
ごぼう,01青果
さつまいも,01青果
サトイモ,01青果
山菜,01青果
しいたけ,01青果
しめじ,01青果
しめじ×2,01青果
じゃがいも,01青果
たけのこ水煮,01青果
たまねぎ,01青果
トマト,01青果
ナス,01青果
ねぎ,01青果
バナナ,01青果
ピーマン,01青果
ブロッコリー,01青果
舞茸,01青果
ミニトマト,01青果
みょうが,01青果
レタス,01青果
蓮根,01青果
玉ねぎ,01青果
山芋,01青果
人参,01青果
切り干し大根,01青果
大根,01青果
白菜,01青果
卵,01青果
いんげん,01青果左
おくら,01青果左
きぬさや,01青果左
シソ,01青果左
春菊,01青果左
しょうが,01青果左
セロリ,01青果左
千切りキャベツ,01青果左
チンゲン菜,01青果左
なめこ,01青果左
ニラ,01青果左
にんにく,01青果左
ほうれんそう,01青果左
もやし,01青果左
小松菜,01青果左
水菜,01青果左
厚揚げ,01青果付近(大豆系）
ごぼう巻,01青果付近(大豆系）
こんにゃく,01青果付近(大豆系）
しらたき,01青果付近(大豆系）
ちくわぶ,01青果付近(大豆系）
つみれ,01青果付近(大豆系）
豆腐パック,01青果付近(大豆系）
納豆3P,01青果付近(大豆系）
野菜天,01青果付近(大豆系）
焼豆腐,01青果付近(大豆系）
大豆煮,01青果付近(大豆系）
豆腐,01青果付近(大豆系）
納豆,01青果付近(大豆系）
油揚げ,01青果付近(大豆系）
ちくわ,01青果付近(大豆系）
キムチ,01青果付近(大豆系前半）
小女子佃煮,01青果付近(大豆系前半）
福神漬け,01青果付近(大豆系前半）
うどん,01青果付近(麺系）
冷やし中華,01青果付近(麺系）
焼そば（父）,01青果付近(麺系）
焼そば,01青果付近(麺系）
あさり,02鮮魚
あじ,02鮮魚
うなぎ,02鮮魚
海鮮丼セット,02鮮魚
カレイ,02鮮魚
サーモン,02鮮魚
刺身,02鮮魚
いか,02鮮魚
サバ,02鮮魚
ししゃも,02鮮魚
しらす,02鮮魚
たこ,02鮮魚
たこ飯系のもと,02鮮魚
たらこ,02鮮魚
