料理名,カテゴリー,材料
クリームシチュー,汁物,クリームシチュー素、じゃがいも、人参、玉ねぎ、鶏もも肉、しめじ
けんちん汁,汁物,サトイモ、大根、人参、しめじ、こんにゃく、ごぼう、豆腐、ねぎ、油揚げ
コンソメスープ,汁物,じゃがいも、玉ねぎ、人参、ウインナー、きゃべつ、コンソメ
前日と同じ,汁物,
たまごスープ,汁物,卵、創味シャンタン、わかめ
鶏汁,汁物,鶏団子、白菜、えのき、ねぎ、人参
豚汁,汁物,豚こま肉、じゃがいも、ごぼう、こんにゃく、大根、人参、豆腐、ねぎ、しめじ
味噌汁　あさり,汁物,あさり、ねぎ
味噌汁　小松菜,汁物,小松菜、油揚げ
味噌汁　しじみ,汁物,しじみ
味噌汁　じゃがいも,汁物,じゃがいも、玉ねぎ
味噌汁　大根,汁物,大根、油揚げ、しめじ
味噌汁　なめこ,汁物,なめこ、豆腐、油揚げ、ねぎ
味噌汁　にらたま,汁物,ニラ、卵
味噌汁　もやし,汁物,もやし
味噌汁　わかめ,汁物,豆腐、油揚げ、わかめ、ねぎ
ミネストローネ,汁物,トマトソース（カゴメ）、玉ねぎ、じゃがいも、人参、セロリ、キャベツ、ベーコン、コンソメ
わかめースープ,汁物,わかめもやし創味シャンタン
小松菜と油揚げの煮物,主菜2,油揚げ、小松菜
梅ジュース,主菜2,梅ジュース
オイスターソース,主菜2,オイスターソース
カロリーメイト,主菜2,カロリーメイト
缶詰 さば,主菜2,缶詰 さば
缶詰 さんま,主菜2,缶詰 さんま
キッチンペーパー,主菜2,キッチンペーパー
キムチ,主菜2,キムチ
小女子佃煮,主菜2,小女子佃煮
砂糖,主菜2,砂糖
千切りキャベツ,主菜2,千切りキャベツ
創味シャンタン,主菜2,創味シャンタン
ソーセージ魚,主菜2,ソーセージ魚
そば,主菜2,そば
大豆煮,主菜2,大豆煮
卵,主菜2,卵
炭酸ジュース,主菜2,炭酸ジュース
チーズ6P,主菜2,チーズ6P
チーズスライス,主菜2,チーズスライス
ツナ,主菜2,ツナ
豆乳,主菜2,豆乳
牛乳,主菜2,牛乳
豆腐パック,主菜2,豆腐3パック
ナゲット,主菜2,ナゲット
納豆3P,主菜2,納豆3P
パスタ,主菜2,パスタ
バナナ,主菜2,バナナ
ビール,主菜2,ビール
味噌,主菜2,味噌
味噌汁（即席）,主菜2,味噌汁（即席）
ミニトマト,主菜2,ミニトマト
焼そば(父）,主菜2,焼そば（父）
ヨーグルト,主菜2,ヨーグルト
料理酒,主菜2,料理酒
冷凍うどん,主菜2,冷凍うどん
冷凍コロッケ,主菜2,冷凍コロッケ
冷凍照り焼き,主菜2,冷凍照り焼き
冷凍パスタ,主菜2,冷凍パスタ
冷凍ブロッコリー,主菜2,冷凍ブロッコリー
冷凍ポテト,主菜2,冷凍ポテト
わかめ,主菜2,わかめ
冷凍から揚げ,主菜2,冷凍から揚げ
冷凍炒飯,主菜2,冷凍炒飯
!市販惣菜,副菜1,市販惣菜
揚げナス,副菜1,ナス、油、めんつゆ、かつおぶし
浅漬け,副菜1,きゅうり、かぶ、浅漬けの素、大根
いか大根,副菜1,いか、大根
いんげん,副菜1,いんげん
いんげんウィンナー炒め,副菜1,いんげん、ウインナー
おから,副菜1,おから、こんにゃく、ごぼう、人参、油揚げ、しめじ、ちくわ、ほしシイタケ、ひじき、ねぎ
おくら,副菜1,おくら
かぼちゃの煮物,副菜1,かぼちゃ
きぬさやの卵とじ,副菜1,きぬさや油揚げ卵
キムチ漬け,副菜1,キムチの素、大根、きゅうり、人参
牛肉ごぼう,副菜1,牛肉、ごぼう
切り干し大根,副菜1,切り干し大根人参油揚げ
切り干し大根のサラダ,副菜1,切り干し大根、人参、きゅうり、しらす、かにかま
巾着煮物,副菜1,油揚げ鶏ひき肉ごぼう、人参、しめじ、しらたき、ひじき
きんぴらごぼう,副菜1,ぼごう、人参
こてっちゃん,副菜1,こてっちゃん、ねぎ
ごぼうサラダ,副菜1,ごぼう、人参
ごぼうのサクサク揚げ,副菜1,ごぼう、油、片栗粉
コロッケ(惣菜）,副菜1,コロッケ（惣菜）、千切りキャベツ
刺身,副菜1,刺身
さといもの煮物,副菜1,冷凍さといも
サバ水煮卵とじ,副菜1,サバ水煮2ねぎ卵
サラダ,副菜1,きゃべつミニトマトきゅうり
サンドウィッチ,副菜1,食パン8枚切り2Pトマトハムスライスチーズレタス冷凍白身魚冷凍カツツナ卵
じゃがウインナー,副菜1,じゃがいも、ウインナー
酢の物,副菜1,わかめきゅうりしらす
大根サラダ,副菜1,大根、シソ、ミニトマト、ツナ
タコ焼き（冷凍）,副菜1,冷凍たこ焼き
卵焼き,副菜1,卵
中華サラダ,副菜1,千切りキャベツきゅうりわかめ
チンゲン菜とツナのサラダ,副菜1,チンゲン菜、ツナ
豆腐ステーキ,副菜1,豆腐、片栗粉
鶏手羽焼,副菜1,手羽
ナス　生姜焼き,副菜1,ナス、しょうが
ナスとピーマンの肉味噌炒め,副菜1,ナスピーマン豚こま肉
なすの肉みそ炒め,副菜1,なすの肉みそ炒めの素、ナス
納豆,副菜1,納豆
なます,副菜1,大根、人参
煮物(ガチ）,副菜1,サトイモ鶏肉(煮物)こんにゃく人参ごぼう
煮物,副菜1,冷凍やさい鶏肉(煮物)こんにゃく
春雨サラダ,副菜1,春雨きゅうりハム
春巻き（冷凍）,副菜1,春巻き（冷凍）
ひじき,副菜1,ひじき、大豆煮、人参、油揚げ
冷奴,副菜1,豆腐
ほうれんそうのおひたし,副菜1,ほうれんそう
ポテトサラダ,副菜1,じゃがいも人参きゅうりハムマヨネーズ
麻婆豆腐,副菜1,豆腐麻婆豆腐の素ねぎ
麻婆春雨,副菜1,麻婆春雨の素、ねぎ
マカロニサラダ,副菜1,マカロニ人参きゅうりハムツナ
目玉焼き,副菜1,
もつ煮込み,副菜1,もつごぼう大根人参こんにゃくしょうがねぎじゃがいもにんにく
もやしのナムル,副菜1,もやし
